date,time,close,atm_strike,month
09-12-2024,12:15:00,24667.2,24650,December
09-12-2024,12:30:00,24653.85,24650,December
09-12-2024,12:45:00,24625.45,24650,December
09-12-2024,13:00:00,24645.55,24650,December
09-12-2024,13:15:00,24653.0,24650,December
09-12-2024,13:30:00,24643.7,24650,December
09-12-2024,13:45:00,24640.45,24650,December
09-12-2024,14:00:00,24622.0,24600,December
09-12-2024,14:15:00,24616.45,24600,December
09-12-2024,14:30:00,24601.2,24600,December
09-12-2024,14:45:00,24632.0,24650,December
10-12-2024,09:45:00,24652.3,24650,December
10-12-2024,10:00:00,24674.5,24650,December
10-12-2024,10:15:00,24657.45,24650,December
10-12-2024,10:30:00,24652.0,24650,December
10-12-2024,10:45:00,24625.1,24650,December
10-12-2024,11:00:00,24644.95,24650,December
10-12-2024,11:15:00,24649.45,24650,December
10-12-2024,11:30:00,24649.1,24650,December
10-12-2024,11:45:00,24652.65,24650,December
10-12-2024,12:00:00,24630.5,24650,December
10-12-2024,12:15:00,24575.3,24600,December
10-12-2024,12:30:00,24593.65,24600,December
10-12-2024,12:45:00,24556.35,24550,December
10-12-2024,13:00:00,24559.5,24550,December
10-12-2024,13:15:00,24548.55,24550,December
10-12-2024,13:30:00,24547.0,24550,December
10-12-2024,13:45:00,24537.7,24550,December
10-12-2024,14:00:00,24531.05,24550,December
10-12-2024,14:15:00,24539.7,24550,December
10-12-2024,14:30:00,24545.6,24550,December
10-12-2024,14:45:00,24542.55,24550,December
11-12-2024,09:45:00,24606.05,24600,December
11-12-2024,10:00:00,24629.95,24650,December
11-12-2024,10:15:00,24625.4,24650,December
11-12-2024,10:30:00,24651.2,24650,December
11-12-2024,10:45:00,24673.25,24650,December
11-12-2024,11:00:00,24659.65,24650,December
11-12-2024,11:15:00,24649.75,24650,December
11-12-2024,11:30:00,24654.65,24650,December
11-12-2024,11:45:00,24679.3,24700,December
11-12-2024,12:00:00,24673.45,24650,December
11-12-2024,12:15:00,24644.05,24650,December
11-12-2024,12:30:00,24657.45,24650,December
11-12-2024,12:45:00,24634.2,24650,December
11-12-2024,13:00:00,24639.9,24650,December
11-12-2024,13:15:00,24658.8,24650,December
11-12-2024,13:30:00,24658.0,24650,December
11-12-2024,13:45:00,24653.8,24650,December
11-12-2024,14:00:00,24647.35,24650,December
11-12-2024,14:15:00,24652.85,24650,December
11-12-2024,14:30:00,24645.2,24650,December
11-12-2024,14:45:00,24625.9,24650,December
12-12-2024,09:45:00,24646.65,24650,December
12-12-2024,10:00:00,24634.2,24650,December
12-12-2024,10:15:00,24618.4,24600,December
12-12-2024,10:30:00,24620.9,24600,December
12-12-2024,10:45:00,24610.9,24600,December
12-12-2024,11:00:00,24593.65,24600,December
12-12-2024,11:15:00,24607.65,24600,December
12-12-2024,11:30:00,24602.7,24600,December
12-12-2024,11:45:00,24595.5,24600,December
12-12-2024,12:00:00,24597.1,24600,December
12-12-2024,12:15:00,24561.25,24550,December
12-12-2024,12:30:00,24575.35,24600,December
12-12-2024,12:45:00,24576.95,24600,December
12-12-2024,13:00:00,24575.9,24600,December
12-12-2024,13:15:00,24571.65,24550,December
12-12-2024,13:30:00,24555.3,24550,December
12-12-2024,13:45:00,24574.95,24550,December
12-12-2024,14:00:00,24549.9,24550,December
12-12-2024,14:15:00,24571.8,24550,December
12-12-2024,14:30:00,24558.65,24550,December
12-12-2024,14:45:00,24553.95,24550,December
13-12-2024,09:45:00,24385.3,24400,December
13-12-2024,10:00:00,24377.65,24400,December
13-12-2024,10:15:00,24315.7,24300,December
13-12-2024,10:30:00,24242.9,24250,December
13-12-2024,10:45:00,24219.55,24200,December
13-12-2024,11:00:00,24263.75,24250,December
13-12-2024,11:15:00,24268.7,24250,December
13-12-2024,11:30:00,24296.25,24300,December
13-12-2024,11:45:00,24359.45,24350,December
